timestamp,src_ip,dst_ip,src_port,dst_port,protocol,prediction,confidence,alert_level
2025-04-21 22:00:27,104.18.41.33,192.168.36.175,443,55445,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:30,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:31,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9990,HIGH
2025-04-21 22:00:32,192.168.36.175,35.174.127.31,54018,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:33,35.174.127.31,192.168.36.175,443,54018,TCP,NORMAL,0.9991,HIGH
2025-04-21 22:00:34,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:36,34.237.108.126,192.168.36.175,443,55381,TCP,NORMAL,0.9991,HIGH
2025-04-21 22:00:37,192.168.36.175,35.201.127.49,55417,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 22:00:38,35.201.127.49,192.168.36.175,443,55417,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:39,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:40,172.67.73.98,192.168.36.175,443,55292,TCP,NORMAL,0.9991,HIGH
2025-04-21 22:00:41,192.168.36.175,35.203.65.95,55247,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:43,35.203.65.95,192.168.36.175,443,55247,TCP,NORMAL,0.9991,HIGH
2025-04-21 22:00:44,192.168.36.175,140.82.112.25,55432,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:45,140.82.112.25,192.168.36.175,443,55432,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:47,192.168.36.175,172.64.155.249,55440,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:48,172.64.155.249,192.168.36.175,443,55440,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:49,192.168.36.175,104.18.40.222,55441,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:50,104.18.40.222,192.168.36.175,443,55441,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:52,192.168.36.175,140.82.113.25,55444,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:53,192.168.36.175,104.18.41.33,55445,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:54,104.18.41.33,192.168.36.175,443,55445,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:55,140.82.113.25,192.168.36.175,443,55444,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:56,192.168.36.175,35.201.127.49,55451,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 22:00:58,35.201.127.49,192.168.36.175,443,55451,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:01:01,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:01:02,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9991,HIGH
2025-04-21 22:01:03,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9980,HIGH
